Vgs,L1,Id,gm,cgs,ro,gm/id,gm/cgs,gmro,Id/W
1.19,0.15,0.00175481,0.0045617,6.61E-15,2229.603697,2.599540691,6.90E+11,10.17078318,175.481
1.18,0.15,0.00170924,0.004552058,6.60E-15,2263.406667,2.663205869,6.90E+11,10.30315843,170.924
1.17,0.15,0.00166377,0.004541595,6.59E-15,2298.486516,2.729701221,6.89E+11,10.43879487,166.377
1.16,0.15,0.00161841,0.004530268,6.58E-15,2334.929257,2.7992091,6.89E+11,10.5778553,161.841
1.15,0.15,0.00157317,0.004518029,6.57E-15,2372.829958,2.871926747,6.88E+11,10.72051456,157.317
1.14,0.15,0.00152805,0.004504823,6.56E-15,2412.292075,2.948086123,6.87E+11,10.86694882,152.805
1.13,0.15,0.00148307,0.004490595,6.54E-15,2453.429612,3.027904954,6.86E+11,11.01735875,148.307
1.12,0.15,0.00143824,0.00447528,6.53E-15,2496.368408,3.111636445,6.85E+11,11.17194761,143.824
1.11,0.15,0.00139357,0.00445881,6.52E-15,2541.24698,3.199559405,6.84E+11,11.33093745,139.357
1.1,0.15,0.00134907,0.004441109,6.50E-15,2588.21946,3.291978178,6.83E+11,11.49456474,134.907
1.09,0.15,0.00130476,0.004422092,6.49E-15,2637.454919,3.389199546,6.81E+11,11.6630683,130.476
1.08,0.15,0.00126064,0.004401667,6.48E-15,2689.142158,3.49161299,6.80E+11,11.8367083,126.064
1.07,0.15,0.00121673,0.004379731,6.46E-15,2743.492504,3.599591528,6.78E+11,12.01575917,121.673
1.06,0.15,0.00117305,0.004356168,6.44E-15,2800.74074,3.713539917,6.76E+11,12.20049719,117.305
1.05,0.15,0.00112961,0.004330852,6.43E-15,2861.150921,3.833935606,6.74E+11,12.39122119,112.961
1.04,0.15,0.00108644,0.00430364,6.41E-15,2925.016614,3.961231177,6.72E+11,12.5882185,108.644
1.03,0.15,0.00104354,0.004274376,6.39E-15,2992.67065,4.096034651,6.69E+11,12.7917996,104.354
1.02,0.15,0.00100096,0.004242884,6.37E-15,3064.489735,4.238814738,6.66E+11,13.00227446,100.096
1.01,0.15,0.000958694,0.004208968,6.35E-15,3140.896864,4.390314323,6.63E+11,13.21993439,95.8694
1,0.15,0.000916785,0.004172412,6.33E-15,3222.374103,4.551134672,6.59E+11,13.44507238,91.6785
0.99,0.15,0.000875255,0.004132977,6.30E-15,3309.469849,4.722026152,6.56E+11,13.67796277,87.5255
0.98,0.15,0.000834136,0.004090399,6.28E-15,3402.811948,4.903755503,6.51E+11,13.91885859,83.4136
0.97,0.15,0.000793459,0.004044388,6.25E-15,3503.11532,5.09716066,6.47E+11,14.16795756,79.3459
0.96,0.15,0.000753261,0.003994629,6.23E-15,3611.208614,5.30311406,6.41E+11,14.42543865,75.3261
0.95,0.15,0.00071358,0.003940782,6.20E-15,3728.039517,5.52255108,6.36E+11,14.69139102,71.358
0.94,0.15,0.00067446,0.003882482,6.17E-15,3854.709819,5.756430329,6.29E+11,14.96584149,67.446
0.93,0.15,0.000635946,0.003819342,6.14E-15,3992.498893,6.00576464,6.22E+11,15.24871871,63.5946
0.92,0.15,0.00059809,0.003750962,6.10E-15,4142.896796,6.271567824,6.15E+11,15.53984845,59.809
0.91,0.15,0.000560946,0.003676931,6.07E-15,4307.646978,6.554875157,6.06E+11,15.83892071,56.0946
0.9,0.15,0.000524572,0.003596843,6.03E-15,4488.793726,6.856719383,5.96E+11,16.14548629,52.4572
0.89,0.15,0.000489031,0.003510305,5.99E-15,4688.753509,7.17808278,5.86E+11,16.45895489,48.9031
0.88,0.15,0.000454389,0.00341696,5.95E-15,4910.383054,7.51990035,5.74E+11,16.77858248,45.4389
0.87,0.15,0.000420715,0.003316504,5.90E-15,5157.076824,7.883018195,5.62E+11,17.10346592,42.0715
0.86,0.15,0.000388083,0.003208712,5.86E-15,5432.8811,8.268107596,5.48E+11,17.43255078,38.8083
0.85,0.15,0.000356566,0.00309347,5.81E-15,5742.654427,8.675729038,5.33E+11,17.76472919,35.6566
0.84,0.15,0.000326238,0.002970795,5.75E-15,6092.233986,9.106219999,5.16E+11,18.09877826,32.6238
0.83,0.15,0.000297174,0.002840874,5.70E-15,6488.673696,9.559631731,4.99E+11,18.4335044,29.7174
0.82,0.15,0.000269444,0.002704085,5.64E-15,6940.535573,10.03579594,4.80E+11,18.76779814,26.9444
0.81,0.15,0.000243113,0.00256102,5.57E-15,7458.245015,10.5342783,4.59E+11,19.10071465,24.3113
0.8,0.15,0.000218242,0.002412495,5.51E-15,8054.577819,11.05421963,4.38E+11,19.43162872,21.8242
0.79,0.15,0.000194878,0.00225955,5.44E-15,8745.2262,11.59469001,4.16E+11,19.76027586,19.4878
0.78,0.15,0.000173061,0.002103437,5.36E-15,9549.575187,12.15430975,3.92E+11,20.08692978,17.3061
0.77,0.15,0.000152815,0.001945583,5.29E-15,10491.64257,12.7316232,3.68E+11,20.41236142,15.2815
0.76,0.15,0.00013415,0.001787547,5.20E-15,11601.38163,13.32498695,3.44E+11,20.73801493,13.415
0.75,0.15,0.000117059,0.001630959,5.12E-15,12916.24371,13.93279457,3.19E+11,21.06586393,11.7059
0.74,0.15,0.000101521,0.001477451,5.03E-15,14483.30799,14.55315649,2.94E+11,21.39837787,10.1521
0.73,0.15,8.75E-05,0.001328587,4.93E-15,16361.98737,15.18473648,2.69E+11,21.73832372,8.74949
0.72,0.15,7.49E-05,0.0011858,4.83E-15,18627.60037,15.82573276,2.45E+11,22.08860851,7.49286
0.71,0.15,6.38E-05,0.001050333,4.73E-15,21376.00783,16.47464885,2.22E+11,22.45192643,6.37545
0.7,0.15,5.39E-05,0.000923198,4.62E-15,24729.71045,17.12982844,2.00E+11,22.83042912,5.38942
0.69,0.15,4.53E-05,0.00080516,4.51E-15,28845.8432,17.78958555,1.79E+11,23.22552488,4.52602
0.68,0.15,3.78E-05,0.000696723,4.39E-15,33926.66548,18.45189346,1.59E+11,23.63749494,3.77589
0.67,0.15,3.13E-05,0.000598144,4.27E-15,40233.4182,19.1144161,1.40E+11,24.0653616,3.12928
0.66,0.15,2.58E-05,0.000509448,4.15E-15,48104.53693,19.77432452,1.23E+11,24.50675532,2.57631
0.65,0.15,2.11E-05,0.00043046,4.02E-15,57979.75347,20.4285599,1.07E+11,24.95798787,2.10715
0.64,0.15,1.71E-05,0.000360833,3.89E-15,70431.71117,21.07338796,92782100467,25.41410677,1.71227
0.63,0.15,1.38E-05,0.000300079,3.76E-15,86208.23427,21.70506969,79907092548,25.86928935,1.38253
